step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
64,288.6723327636719,2,mnist,128,64,1000,default
1,312.61285400390625,2,mnist,2,1,128,default
1,208.24667358398438,2,cifar10,8,4,128,default
2,218.1885986328125,2,cifar10,8,4,128,default
4,260.352783203125,2,cifar10,8,4,128,default
1,218.47329711914062,2,cifar10,4,2,128,default
2,235.52249145507812,2,cifar10,4,2,128,default
4,324.7914733886719,2,mnist,1024,512,128,default
64,322.5092468261719,2,mnist,1024,512,128,default
128,318.5439758300781,2,mnist,1024,512,128,default
512,151.64410400390625,2,mnist,1024,512,128,default
1,323.50457763671875,2,mnist,16,8,1000,nefvlf
2,318.8854064941406,2,mnist,16,8,1000,nefvlf
4,314.3433837890625,2,mnist,16,8,1000,nefvlf
8,205.43698120117188,2,mnist,16,8,1000,nefvlf
4,324.3294677734375,2,mnist,256,128,1000,vefnlf
16,321.97369384765625,2,mnist,256,128,1000,vefnlf
32,314.7053527832031,2,mnist,256,128,1000,vefnlf
128,215.4034881591797,2,mnist,256,128,1000,vefnlf
1,321.4575500488281,4,mnist,32,8,1000,lf
4,317.03424072265625,4,mnist,32,8,1000,lf
8,225.94174194335938,4,mnist,32,8,1000,lf
4,209.47169494628906,2,cifar10,512,256,32,default
64,205.13661193847656,2,cifar10,512,256,32,default
128,187.66026306152344,2,cifar10,512,256,32,default
256,175.95823669433594,2,cifar10,512,256,32,default
4,326.37078857421875,2,mnist,1024,512,1000,ef
32,325.59637451171875,2,mnist,1024,512,1000,ef
256,311.3176574707031,2,mnist,1024,512,1000,ef
512,152.7296142578125,2,mnist,1024,512,1000,ef
4,210.1415252685547,8,cifar10,1024,128,1000,default
32,205.0596466064453,8,cifar10,1024,128,1000,default
64,186.30398559570312,8,cifar10,1024,128,1000,default
128,96.26278686523438,8,cifar10,1024,128,1000,default
4,208.8477325439453,2,cifar10,1024,512,1000,vefnlf
64,207.23675537109375,2,cifar10,1024,512,1000,vefnlf
128,202.62075805664062,2,cifar10,1024,512,1000,vefnlf
512,210.06851196289062,2,cifar10,1024,512,1000,vefnlf
1,468.7589416503906,2,cifar10,2,1,1000,lf
4,325.3466491699219,2,mnist,64,32,32,default
8,321.005859375,2,mnist,64,32,32,default
16,311.6974792480469,2,mnist,64,32,32,default
32,183.64967346191406,2,mnist,64,32,32,default
4,325.2900695800781,nan,mnist,nan,nan,1000,default
64,323.5861511230469,nan,mnist,nan,nan,1000,default
128,322.2171630859375,nan,mnist,nan,nan,1000,default
512,307.1700134277344,nan,mnist,nan,nan,1000,default
1024,152.69851684570312,nan,mnist,nan,nan,1000,default
2,209.6293487548828,2,cifar10,32,16,1000,default
4,207.31491088867188,2,cifar10,32,16,1000,default
8,193.29051208496094,2,cifar10,32,16,1000,default
16,247.85731506347656,2,cifar10,32,16,1000,default
4,322.105712890625,2,mnist,64,32,500,default
8,316.2890319824219,2,mnist,64,32,500,default
16,312.9690856933594,2,mnist,64,32,500,default
32,289.1737976074219,2,mnist,64,32,500,default
2,322.57366943359375,2,mnist,32,16,32,default
4,316.2259521484375,2,mnist,32,16,32,default
8,307.6230773925781,2,mnist,32,16,32,default
16,184.5638885498047,2,mnist,32,16,32,default
2,322.0784606933594,2,mnist,32,16,1000,default
4,318.794921875,2,mnist,32,16,1000,default
8,315.99530029296875,2,mnist,32,16,1000,default
16,269.20867919921875,2,mnist,32,16,1000,default
1,503.83111572265625,4,cifar10,4,1,1000,default
1,197.53045654296875,2,cifar10,8,4,32,default
2,204.02230834960938,2,cifar10,8,4,32,default
4,231.98297119140625,2,cifar10,8,4,32,default
1,211.52210998535156,4,cifar10,16,4,1000,default
2,212.6333770751953,4,cifar10,16,4,1000,default
4,264.8407897949219,4,cifar10,16,4,1000,default
1,325.5399169921875,2,mnist,32,16,1000,nefvlf
4,316.8255310058594,2,mnist,32,16,1000,nefvlf
8,310.4127197265625,2,mnist,32,16,1000,nefvlf
16,185.4543914794922,2,mnist,32,16,1000,nefvlf
1,309.26617431640625,2,mnist,2,1,32,default
2,322.6875305175781,2,mnist,32,16,128,default
4,318.9770812988281,2,mnist,32,16,128,default
8,310.0957336425781,2,mnist,32,16,128,default
16,182.4532470703125,2,mnist,32,16,128,default
1,208.75428771972656,2,cifar10,16,8,32,default
2,210.4735107421875,2,cifar10,16,8,32,default
4,218.60951232910156,2,cifar10,16,8,32,default
8,270.9958801269531,2,cifar10,16,8,32,default
1,342.3065185546875,2,mnist,2,1,500,default
1,341.8717041015625,2,mnist,2,1,1000,default
1,204.90066528320312,4,cifar10,128,32,1000,lf
4,203.1051025390625,4,cifar10,128,32,1000,lf
8,201.80751037597656,4,cifar10,128,32,1000,lf
32,111.04127502441406,4,cifar10,128,32,1000,lf
4,324.5321960449219,2,mnist,1024,512,500,default
64,324.16741943359375,2,mnist,1024,512,500,default
128,318.89794921875,2,mnist,1024,512,500,default
512,155.23684692382812,2,mnist,1024,512,500,default
1,210.46826171875,2,cifar10,4,2,500,default
2,310.8096618652344,2,cifar10,4,2,500,default
2,320.6089782714844,4,mnist,64,16,1000,l
4,317.4591979980469,4,mnist,64,16,1000,l
16,198.20672607421875,4,mnist,64,16,1000,l
1,209.544921875,32,cifar10,1024,32,1000,nefvlf
4,208.7763671875,32,cifar10,1024,32,1000,nefvlf
8,208.4743194580078,32,cifar10,1024,32,1000,nefvlf
32,139.65602111816406,32,cifar10,1024,32,1000,nefvlf
1,206.7352294921875,2,cifar10,8,4,500,default
2,212.3854217529297,2,cifar10,8,4,500,default
4,321.5510559082031,2,cifar10,8,4,500,default
4,204.54161071777344,2,cifar10,1024,512,32,default
64,203.36956787109375,2,cifar10,1024,512,32,default
128,202.33306884765625,2,cifar10,1024,512,32,default
512,176.28054809570312,2,cifar10,1024,512,32,default
1,207.6061553955078,2,cifar10,16,8,128,default
2,209.2755126953125,2,cifar10,16,8,128,default
4,217.6334228515625,2,cifar10,16,8,128,default
8,282.67181396484375,2,cifar10,16,8,128,default
4,209.2365264892578,2,cifar10,512,256,1000,vefnlf
